game_uid,sequence,winner_side,winner
1hEBMaHVAZ_0004_G1,"blue_ban_Baxia,red_ban_Mathilda,blue_ban_Terizla,red_ban_Angela,blue_ban_Novaria,red_ban_Diggie,blue_ban_Irithel,red_ban_Ixia,blue_ban_Grock,red_ban_Kadita,blue_pick_X.Borg,red_pick_Edith,red_pick_Fredrinn,blue_pick_Martis,blue_pick_Lylia,red_pick_Gord,red_pick_Beatrix,blue_pick_Bruno,blue_pick_Rafaela,red_pick_Kaja",blue,1
1hEBMaHVAZ_0005_G1,"blue_ban_Fanny,red_ban_Irithel,blue_ban_Diggie,red_ban_Novaria,blue_ban_Angela,red_ban_Alice,blue_ban_Ixia,red_ban_Martis,blue_ban_Wanwan,red_ban_Kaja,blue_pick_Terizla,red_pick_X.Borg,red_pick_Baxia,blue_pick_Alpha,blue_pick_Kadita,red_pick_Gord,red_pick_Beatrix,blue_pick_Bruno,blue_pick_Mathilda,red_pick_Rafaela",red,0
1hEBMaHVAZ_0006_G1,"blue_ban_Ixia,red_ban_Mathilda,blue_ban_Kaja,red_ban_Angela,blue_ban_Valentina,red_ban_Joy,blue_ban_Bruno,red_ban_Gord,blue_ban_Diggie,red_ban_Baxia,blue_pick_Edith,red_pick_Terizla,red_pick_Fredrinn,blue_pick_Bane,blue_pick_Natan,red_pick_Novaria,red_pick_Brody,blue_pick_Irithel,blue_pick_Minotaur,red_pick_Hilda",red,0
1pSvnZLFI1_R01-M001_G1,"blue_ban_Franco,red_ban_Wanwan,blue_ban_Arlott,red_ban_Joy,blue_ban_Kaja,red_ban_Gloo,blue_ban_Valentina,red_ban_Khufra,blue_ban_Kadita,red_ban_Lolita,blue_pick_Yu Zhong,red_pick_Lapu-Lapu,red_pick_Lancelot,blue_pick_Fredrinn,blue_pick_Yve,red_pick_Pharsa,red_pick_Karrie,blue_pick_Claude,blue_pick_Floryn,red_pick_Chou",blue,1
1pSvnZLFI1_R01-M001_G2,"blue_ban_Faramis,red_ban_Arlott,blue_ban_Wanwan,red_ban_Kaja,blue_ban_Gloo,red_ban_Yve,blue_ban_Karrie,red_ban_Atlas,blue_ban_Brody,red_ban_Chou,blue_pick_Joy,red_pick_Lapu-Lapu,red_pick_Fredrinn,blue_pick_Martis,blue_pick_Kadita,red_pick_Valentina,red_pick_Beatrix,blue_pick_Claude,blue_pick_Akai,red_pick_Franco",blue,1
1pSvnZLFI1_R01-M001_G3,"blue_ban_Arlott,red_ban_Wanwan,blue_ban_Kaja,red_ban_Joy,blue_ban_Karrie,red_ban_Gloo,blue_ban_Franco,red_ban_Floryn,blue_ban_Akai,red_ban_Angela,blue_pick_Yu Zhong,red_pick_Lapu-Lapu,red_pick_Martis,blue_pick_Fredrinn,blue_pick_Faramis,red_pick_Valentina,red_pick_Beatrix,blue_pick_Claude,blue_pick_Estes,red_pick_Grock",red,0
1pSvnZLFI1_R01-M002_G1,"blue_ban_Fanny,red_ban_Wanwan,blue_ban_Gloo,red_ban_Arlott,blue_ban_Kaja,red_ban_Yve,blue_ban_Melissa,red_ban_Minsitthar,blue_ban_Lapu-Lapu,red_ban_Fredrinn,blue_pick_Joy,red_pick_Terizla,red_pick_Lancelot,blue_pick_Barats,blue_pick_Faramis,red_pick_Valentina,red_pick_Claude,blue_pick_Karrie,blue_pick_Natalia,red_pick_Franco",blue,1
1pSvnZLFI1_R01-M002_G2,"blue_ban_Natalia,red_ban_Wanwan,blue_ban_Franco,red_ban_Kaja,blue_ban_Valentina,red_ban_Joy,blue_ban_Lolita,red_ban_Fanny,blue_ban_Melissa,red_ban_Helcurt,blue_pick_Gloo,red_pick_Arlott,red_pick_Fredrinn,blue_pick_Akai,blue_pick_Faramis,red_pick_Yve,red_pick_Harith,blue_pick_Karrie,blue_pick_Khufra,red_pick_Atlas",blue,1
1pSvnZLFI1_R01-M002_G3,"blue_ban_Kaja,red_ban_Natalia,blue_ban_Joy,red_ban_Wanwan,blue_ban_Yve,red_ban_Faramis,blue_ban_Lancelot,red_ban_Harith,blue_ban_Fanny,red_ban_Claude,blue_pick_Gloo,red_pick_Yu Zhong,red_pick_Fredrinn,blue_pick_Helcurt,blue_pick_Valentina,red_pick_Kadita,red_pick_Karrie,blue_pick_Beatrix,blue_pick_Lolita,red_pick_Franco",red,0
1pSvnZLFI1_R02-M001_G1,"blue_ban_Kaja,red_ban_Wanwan,blue_ban_Yve,red_ban_Gloo,blue_ban_Joy,red_ban_Fanny,blue_ban_Martis,red_ban_Hayabusa,blue_ban_Akai,red_ban_Helcurt,blue_pick_Lapu-Lapu,red_pick_Arlott,red_pick_Lancelot,blue_pick_Fredrinn,blue_pick_Faramis,red_pick_Valentina,red_pick_Beatrix,blue_pick_Karrie,blue_pick_Khufra,red_pick_Atlas",blue,1
